time,x,y,z
3,20,624,-812
104,32,640,-800
206,28,636,-804
307,0,644,-808
409,24,632,-812
511,24,628,-804
613,28,620,-820
714,32,628,-812
815,12,588,-836
916,28,616,-820
1018,24,632,-824
1119,36,648,-828
1221,28,620,-820
1323,44,640,-776
1425,68,608,-808
1527,20,612,-824
1629,28,620,-820
1732,32,632,-816
1833,32,612,-828
1936,24,620,-828
2037,16,656,-796
2140,24,612,-820
2241,12,636,-888
2343,20,632,-812
2445,32,616,-828
2547,28,552,-868
2649,28,616,-820
2751,24,616,-820
2853,24,608,-828
2955,28,604,-824
3057,28,604,-820
3159,32,608,-824
3261,24,608,-836
3363,72,536,-840
3465,28,624,-816
3566,32,604,-832
3667,24,596,-840
3768,24,600,-832
3870,28,592,-836
3971,20,584,-872
4073,24,600,-832
4175,28,592,-840
4277,32,592,-828
4379,28,588,-840
4481,32,588,-836
4584,28,592,-840
4685,28,588,-844
4788,28,588,-832
4889,52,528,-900
4991,48,572,-824
5092,-8,1208,-2040
5194,-328,1572,1440
5295,1500,2040,2040
5397,104,2040,-1908
5499,-28,464,-2040
5600,-600,2040,-1816
5703,1276,-308,2040
5805,-80,2040,24
5907,-532,212,-2040
6009,-428,2040,-1672
6113,596,480,2040
6215,304,1380,-2040
6317,-668,2040,212
6419,-448,320,-1152
6521,44,2040,-2040
6623,1460,312,2040
6725,-72,1296,-2040
6827,16,2040,-2040
6929,-88,220,2040
7031,264,2040,2040
7133,492,816,-2040
7236,-88,2040,-2040
7337,748,-132,2040
7440,-160,2040,-60
7541,544,464,-2040
7644,-516,2040,-480
7745,228,716,2040
7847,-148,2040,-1640
7950,756,452,-2040
8051,-124,1016,928
8153,180,1760,2040
8255,208,1868,-2040
8357,-364,1092,1244
8459,12,1784,2040
8561,860,1096,-2040
8663,-644,1196,-2040
8768,336,444,2040
8869,20,1236,-324
8972,-424,1112,-2040
9075,-4,216,1312
9177,-384,2040,-2040
9280,416,1416,2040
9382,476,2040,-2040
9483,-1132,2040,-1208
9587,1244,2040,2040
9689,-972,2040,-2040
9793,244,592,1596
9894,-360,428,-2040
9995,-2040,2040,-560
10100,1284,76,2040
10201,-180,1916,-492
10305,-668,872,-2040
10408,-396,604,-800
10510,-444,488,-572
10611,-332,464,-884
10713,-356,504,-908
10815,-344,420,-860
10917,-368,476,-948
11019,-284,400,-780
11121,-308,392,-768
11223,-344,460,-828
11325,-344,464,-756
11428,-340,392,-920
11529,-336,412,-836
11632,-344,380,-904
11733,-336,368,-916
11835,-376,404,-888
11937,-340,408,-816
12039,-332,400,-844
12140,-348,376,-880
12242,-360,404,-864
12343,-368,396,-888
12445,-344,316,-860
12547,-316,380,-904
12649,-356,396,-824
12751,-360,384,-868
12853,-352,360,-868
12955,-356,364,-836
13057,-368,376,-876
13159,-356,356,-864
13261,-348,348,-876
13363,-368,356,-864
13464,-360,360,-872
13566,-352,356,-872
13667,-360,368,-876
13769,-388,356,-784
13871,-360,368,-960
13973,-360,372,-920
14076,-376,372,-904
14177,-372,372,-928
14280,-372,352,-892
14381,-352,344,-852
14483,-368,352,-884
14584,-380,364,-876
14686,-368,332,-888
14787,-392,356,-940
14889,-368,332,-888
14991,-368,336,-872
15093,-364,344,-876
15195,-364,340,-872
15297,-324,296,-876
15399,-412,1116,-556
15503,-408,212,-2040
15608,-436,1540,-2040
15711,1832,-28,2040
15813,-272,1320,1636
15917,108,336,-2040
16019,-180,2040,-1208
16122,2040,-8,2040
16223,-768,2040,-1612
16326,716,1288,-2040
16429,844,1956,436
16531,-96,2040,1752
16633,-424,604,-2040
16737,340,2040,-280
16839,2040,560,2040
16941,-284,2040,1140
17045,756,152,-2040
17147,4,2040,-1108
17248,2040,2040,2040
17352,-1536,2040,-2040
17455,84,2040,-2040
17557,2008,80,2040
17659,-2040,2040,-2040
17763,324,2040,-1356
17866,1308,2040,2040
17969,-460,-292,-2040
18072,224,2040,-560
18174,2040,2040,2040
18277,-1816,2040,-2040
18380,-1560,480,-2040
18484,1540,1888,-140
18587,2040,1408,2040
18691,-2040,760,-2040
18794,-988,2040,-2040
18897,2040,868,2040
18999,-432,2040,-640
19103,-1792,104,-2040
19206,1292,480,-2040
19309,80,2032,-460
19411,2040,796,2040
19513,140,2040,-2040
19617,520,2040,-2040
19720,2040,-364,2040
19824,-32,2040,-580
19926,728,916,-2040
